"cmdName","Description","Link","Authors","Letter"
"adjmean","stata module to calculate variables' means adjusted for covariates","https://econpapers.repec.org/software/bocbocode/s344803.htm","`Joanne M`.` Garrett`","A"
"adjprop","stata module to calculate adjusted probabilities from logistic regression estimates","https://econpapers.repec.org/software/bocbocode/s344804.htm","`Joanne M`.` Garrett`","A"
"adjust","stata module (corrected) to compute adjusted predictions and probabilities after estimation","https://econpapers.repec.org/software/bocbocode/s355001.htm","`Kenneth Higbee`","A"
"admetan","stata module to provide comprehensive meta-analysis","https://econpapers.repec.org/software/bocbocode/s458561.htm","`David Fisher`","A"
"adodev","stata module to reorder ado-path for developers and other independent-minded users","https://econpapers.repec.org/software/bocbocode/s457025.htm","`Roger Newson`","A"
"adodown","stata module making stata packages easier to develop and document using modern tools","https://econpapers.repec.org/software/bocbocode/s459309.htm","`Team Lsms`","A"
"adoedit","stata module to edit ado file in stata's do-file editor","https://econpapers.repec.org/software/bocbocode/s430401.htm","`Dan Blanchette`","A"
"adoinstall","stata module to install stata packages in a specified path","https://econpapers.repec.org/software/bocbocode/s459024.htm","`Gustavo Igl`é`sias`","A"
"adolist","stata module to manage lists of ado packages","https://econpapers.repec.org/software/bocbocode/s456801.htm","`Ben Jann`,` Stefan Wehrli`","A"
"adostore","stata module to store and restore the current ado-path","https://econpapers.repec.org/software/bocbocode/s458427.htm","`Roger Newson`","A"
"adotype","stata module to type ado file","https://econpapers.repec.org/software/bocbocode/s400101.htm","`Nicholas Cox`","A"
"adtest","rats procedure to perform anderson-darling test for normality","https://econpapers.repec.org/software/bocbocode/rts00004.htm","`Tom Doan`","A"
"aedot","stata module to produce dot plot for adverse event data","https://econpapers.repec.org/software/bocbocode/s458735.htm","`Rachel Phillips`,` Suzie Cro`","A"
"aefdr","stata module to perform false discovery rate p-value adjustment for adverse event data","https://econpapers.repec.org/software/bocbocode/s458733.htm","`Rachel Phillips`,` Suzie Cro`","A"
"aevolcano","stata module to produce volcano plot for adverse event data","https://econpapers.repec.org/software/bocbocode/s458736.htm","`Rachel Phillips`,` Suzie Cro`","A"
"aextlogit","stata module to compute average elasticities for fixed effects logit","https://econpapers.repec.org/software/bocbocode/s458254.htm","`Jo`ã`o Santos Silva`","A"
"affiliationexposure","stata module to compute an affiliation exposure model using two-mode actor(row)-by-event(column) network data","https://econpapers.repec.org/software/bocbocode/s457292.htm","`Kayo Fujimoto`","A"
"aformat","stata module to condense the display format of a variable","https://econpapers.repec.org/software/bocbocode/s418802.htm","`Jens Lauritsen`,` John Luke Gallup`","A"
"agfractd","rats procedure to compute andrews-guggenberger estimate of fractional difference","https://econpapers.repec.org/software/bocbocode/rts00005.htm","`Tom Doan`","A"
"aggind","stata module to aggregate indicators among units within a specified radius","https://econpapers.repec.org/software/bocbocode/s458391.htm","`Andreas Hartung`","A"
"agrm","stata module to calculate van der eijk's measure of agreement ""a""","https://econpapers.repec.org/software/bocbocode/s457287.htm","`Alejandro Ecker`","A"
"aic_model_selection","stata module to perform forward model selection using aic or bic","https://econpapers.repec.org/software/bocbocode/s458994.htm","`Matthias Schonlau`","A"
"ainequal","stata module to compute measures of inequality","https://econpapers.repec.org/software/bocbocode/s456748.htm","`Jo`ã`o Pedro Azevedo`","A"
"airnet","stata module to create networks from airline traffic data","https://econpapers.repec.org/software/bocbocode/s457487.htm","`Zachary Neal`","A"
"akdensity","stata module to perform adaptive kernel density estimation","https://econpapers.repec.org/software/bocbocode/s456101.htm","`Philippe Van Kerm`","A"
"albatross","stata module to create albatross plots","https://econpapers.repec.org/software/bocbocode/s458296.htm","`Sean Harrison`","A"
"alignedpairs","stata module to perform the aligned ranks test for matched pairs (hodges-lehmann)","https://econpapers.repec.org/software/bocbocode/s457916.htm","`Ariel Linden`","A"
