"cmdName","Description","Link","Authors","Letter"
"chi2fit","stata module to perform chi-squared goodness-of-fit test","https://econpapers.repec.org/software/bocbocode/s416604.htm","`Stanislav Kolenikov`","C"
"chimchar","stata module to thoroughly clean string variables","https://econpapers.repec.org/software/bocbocode/s459186.htm","`Tommy Morgan`","C"
"china_map","stata module to provide map of china's provinces","https://econpapers.repec.org/software/bocbocode/s456958.htm","`Scott Merryman`","C"
"china_spatdwm","stata module to provide spatial distance matrices for chinese provinces and cities","https://econpapers.repec.org/software/bocbocode/s457059.htm","`Yihua Yu`","C"
"chinagcode","stata module to geocode chinese addresses","https://econpapers.repec.org/software/bocbocode/s458242.htm","`Chuntao Li`,` Yuan Xue`","C"
"chiplot","stata module to produce graphical assessment plot for dependence","https://econpapers.repec.org/software/bocbocode/s420301.htm","`Thomas Steichen`","C"
"chist","stata program to make frequency tables with class intervals","https://econpapers.repec.org/software/bocbocode/uclachist.htm","`Philip B`.` Ender`","C"
"chm","stata module to copy hard missings","https://econpapers.repec.org/software/bocbocode/s457252.htm","`Daniel Klein`","C"
"choi_lr_test","stata module to perform choi's likelihood ratio test","https://econpapers.repec.org/software/bocbocode/s458190.htm","`William D`.` Dupont`,` Walton Plummer`","C"
"chowdenning","rats procedure to perform chow-denning multiple variance ratio test","https://econpapers.repec.org/software/bocbocode/rts00035.htm","`Tom Doan`","C"
"chowlin","rats procedure to distribute a series to a higher frequency using related series","https://econpapers.repec.org/software/bocbocode/rts00036.htm","`Tom Doan`","C"
"chowreg","stata module to compute structural change regressions and chow test","https://econpapers.repec.org/software/bocbocode/s457383.htm","`Emad Shehata`","C"
"chowtest","stata module to perform chow test for structural break","https://econpapers.repec.org/software/bocbocode/s458875.htm","`Qunyong Wang`","C"
"chunky8","stata module to chunk a large text file into smaller parts (version 8)","https://econpapers.repec.org/software/bocbocode/s457172.htm","`David Elliott`","C"
"chunky","stata module to chunk a large text file into smaller parts","https://econpapers.repec.org/software/bocbocode/s456994.htm","`David Elliott`","C"
"ci2","stata module to compute confidence intervals for correlations","https://econpapers.repec.org/software/bocbocode/s423603.htm","`Paul Seed`","C"
"ci_marg_mu","stata module to produce simulation-based confidence intervals after gllapred","https://econpapers.repec.org/software/bocbocode/s456961.htm","`Sophia Rabe`-`Hesketh`","C"
"cibar","stata module to plot bar graphs and confidence intervals over groups","https://econpapers.repec.org/software/bocbocode/s457805.htm","`Alexander Staudt`","C"
"cibplot","stata module for bar-on-bar plots of confidence intervals","https://econpapers.repec.org/software/bocbocode/s434401.htm","`Nicholas Cox`","C"
"cic","stata module to implement the athey and imbens (2006) changes-in-changes model","https://econpapers.repec.org/software/bocbocode/s458656.htm","`Keith Kranker`","C"
"cid","stata module to calculate confidence intervals for means or differences","https://econpapers.repec.org/software/bocbocode/s338001.htm","`Patrick Royston`","C"
"ciform","stata module to format confidence interval for tables in documents","https://econpapers.repec.org/software/bocbocode/s415001.htm","`Roger Newson`","C"
"cifunction","stata module for computing and graphically displaying all possible confidence intervals around a point estimate","https://econpapers.repec.org/software/bocbocode/s458649.htm","`Ariel Linden`","C"
"cihplot","stata module to show horizontally labelled plots showing confidence intervals","https://econpapers.repec.org/software/bocbocode/s377501.htm","`Nicholas Cox`","C"
"cij","stata module for binomial confidence intervals for proportions using jeffreys prior","https://econpapers.repec.org/software/bocbocode/s429801.htm","`Nicholas Cox`","C"
"ciplot","stata module for plots of confidence intervals","https://econpapers.repec.org/software/bocbocode/s431202.htm","`Nicholas Cox`","C"
"cipolate","stata module for cubic interpolation","https://econpapers.repec.org/software/bocbocode/s426202.htm","`Nicholas Cox`","C"
"circlebar","stata module to produce polar bar graphs","https://econpapers.repec.org/software/bocbocode/s459141.htm","`Asjad Naqvi`","C"
"circlepack","stata module for hierarchical circle packing","https://econpapers.repec.org/software/bocbocode/s459120.htm","`Asjad Naqvi`","C"
"circstat","stata modules to calculate circular statistics","https://econpapers.repec.org/software/bocbocode/s362501.htm","`Nicholas Cox`","C"
"circular","stata module for circular statistics","https://econpapers.repec.org/software/bocbocode/s436601.htm","`Nicholas Cox`","C"
"circularkde","stata module to perform kernel density estimation for circular data","https://econpapers.repec.org/software/bocbocode/s458922.htm","`Isa`í`as Salgado`-`Ugarte`,` Ver`ó`nica Mitsui Saito`-`Quezada`,` Marco Aurelio P`é`rez`-`Hern`á`ndez`","C"
"cisd","stata module to compute confidence intervals for standard deviations","https://econpapers.repec.org/software/bocbocode/s457779.htm","`Morten Frydenberg`,` Svend Juul`","C"
"cisets","stata module for confidence interval sets","https://econpapers.repec.org/software/bocbocode/s459386.htm","`Nicholas Cox`","C"
"cistat","stata module to produce confidence intervals in matrix form","https://econpapers.repec.org/software/bocbocode/s371201.htm","`Nicholas Cox`","C"
"citest2b","gauss module to implement tests for cointegration with two unknown structural breaks","https://econpapers.repec.org/software/bocbocode/g00006.htm","`Abdulnasser Hatemi`-`J`","C"
"civplot","stata module to plot confidence intervals vertically","https://econpapers.repec.org/software/bocbocode/s377502.htm","`Nicholas Cox`","C"
"ciw","stata module for binomial confidence intervals for proportions using wilson scores","https://econpapers.repec.org/software/bocbocode/s429802.htm","`Nicholas Cox`","C"
"ciwidth_proportions_mc","stata module to calculate precision and power for a ci-based comparison of two independent proportions (rd, rr, or or)","https://econpapers.repec.org/software/bocbocode/s458718.htm","`Mark Chatfield`","C"
"ckvar","stata module to allow error checking routines to easily be defined and attached directly to variables","https://econpapers.repec.org/software/bocbocode/s456757.htm","`Bill Rising`","C"
"clan","stata module to perform cluster-level analysis of cluster randomised trials","https://econpapers.repec.org/software/bocbocode/s458844.htm","`Stephen Nash`,` Jennifer Thompson`,` Baptiste Leurent`","C"
"clarify","stata module for interpreting and presenting statistical results","https://econpapers.repec.org/software/bocbocode/s458945.htm","`Michael Tomz`,` Gary King`,` Jason Wittenberg`","C"
"clarify","stata modules for monte carlo simulation","https://econpapers.repec.org/software/bocbocode/s355501.htm","`Gary King`","C"
"classicaldecomp","rats procedure to decompose a series into trend, seasonal, irregular","https://econpapers.repec.org/software/bocbocode/rts00037.htm","`Tom Doan`","C"
"classifylasso","stata module to identify latent group structures via classifier-lasso","https://econpapers.repec.org/software/bocbocode/s459255.htm","`Wenxin Huang`,` Yiru Wang`,` Lingyun Zhou`","C"
"classplot","stata module to plot predicted probability and empirical values after a binary response model","https://econpapers.repec.org/software/bocbocode/s454201.htm","`Lars Kroll`","C"
"classtab","stata module or computing diagnostic accuracy statistics and classification table","https://econpapers.repec.org/software/bocbocode/s458127.htm","`Ariel Linden`","C"
"clean_class","stata module to clean classroom variables","https://econpapers.repec.org/software/bocbocode/s458006.htm","`Adrien Bouguen`","C"
"clean_name","stata module to clean name variables","https://econpapers.repec.org/software/bocbocode/s457995.htm","`Adrien Bouguen`","C"
"cleanchars","stata module to replace specific characters or strings in variable names and/or variable labels and/or string variable values and/or value label names and levels with stated characters/strings (using 1-1 or m-1 match)","https://econpapers.repec.org/software/bocbocode/s457713.htm","`Lars Angquist`","C"
"cleanlog","stata module to clean log files","https://econpapers.repec.org/software/bocbocode/s432401.htm","`Lee Sieswerda`","C"
"cleanplots","stata module providing graphics scheme for easy and effective data visualizations","https://econpapers.repec.org/software/bocbocode/s459156.htm","`Trenton D`.` Mize`","C"
"clemao_io","stata module to perform unit root tests with one or two structural breaks","https://econpapers.repec.org/software/bocbocode/s444302.htm","`Christopher Baum`","C"
"clipgeo","stata module for polyline and polygon clipping","https://econpapers.repec.org/software/bocbocode/s459080.htm","`Asjad Naqvi`","C"
"clogithet","stata module to estimate heteroscedastic conditional logit model","https://econpapers.repec.org/software/bocbocode/s456737.htm","`Arne Hole`","C"
"clorenz","stata module to estimate lorenz and concentration curves","https://econpapers.repec.org/software/bocbocode/s456515.htm","`Abdelkrim Araar`","C"
"clrbound","stata module to perform estimation and inference on intersection bounds","https://econpapers.repec.org/software/bocbocode/s457674.htm","`Victor Chernozhukov`,` Wooyoung Kim`,` Sokbae `(`Simon`)` Lee`,` Adam Rosen`","C"
"clstop_lbt","stata module to add stopping rule in cluster analysis","https://econpapers.repec.org/software/bocbocode/s457595.htm","`Dirk Enzmann`","C"
"cltest","stata modules for performing cluster-adjusted chi-square and t-tests","https://econpapers.repec.org/software/bocbocode/s424901.htm","`Jeph Herrin`","C"
"clump","stata module to compute permutation test approach to assessing genetic associations with case/control status","https://econpapers.repec.org/software/bocbocode/s457067.htm","`Adrian Mander`","C"
"clus_nway","stata module to perform multi-way clustering for various model specifications","https://econpapers.repec.org/software/bocbocode/s458841.htm","`Paul J`.` Wolfson`,` Adam Kleinbaum`","C"
"cluster2","stata module to perform power analysis for two-level cluster randomized trials","https://econpapers.repec.org/software/bocbocode/s458755.htm","`Wael Moussa`","C"
"cluster3","stata module to perform power analysis for up to three-level cluster randomized trial","https://econpapers.repec.org/software/bocbocode/s458671.htm","`Wael Moussa`","C"
"cluster","stata module to perform nonhierarchical k-means (or k-medoids) cluster analysis","https://econpapers.repec.org/software/bocbocode/s358403.htm","`Dean Judson`","C"
"clusterbs","stata module to perform a pairs symmetric cluster bootstrap-t procedure","https://econpapers.repec.org/software/bocbocode/s457988.htm","`Andrew Menger`","C"
"clustergram","stata module to produce graph for visualizing hierarchical and non-hierarchical cluster analyses","https://econpapers.repec.org/software/bocbocode/s458552.htm","`Matthias Schonlau`","C"
"clustersampsim","stata module to simulate cluster-randomized trial sample size requirements","https://econpapers.repec.org/software/bocbocode/s458786.htm","`Jonathan Seiden`","C"
"clustpop","stata module to estimate population cluster group assignments","https://econpapers.repec.org/software/bocbocode/s457276.htm","`Paul Millar`","C"
"clustse","stata module to estimate the statistical significance of parameters when the data is clustered with a small number of clusters","https://econpapers.repec.org/software/bocbocode/s457989.htm","`Andrew Menger`","C"
"clustsens","stata module to perform sensitivity analysis for cluster commands","https://econpapers.repec.org/software/bocbocode/s449505.htm","`Paul Millar`","C"
"clv","stata module to implement a clustering of variables around latent components","https://econpapers.repec.org/software/bocbocode/s453101.htm","`Jean`-`Benoit Hardouin`","C"
"cm2in","stata module to provide conversion between inch/cm and others","https://econpapers.repec.org/software/bocbocode/s457171.htm","`Ulrich Kohler`","C"
"cmatch","stata module to tabulate matched pairs in 1:1 case control study by exposure status","https://econpapers.repec.org/software/bocbocode/s458408.htm","`Miguel`-`Angel Luque Fernandez`","C"
"cmaxuse","stata module to access cmax instructional datasets","https://econpapers.repec.org/software/bocbocode/s457647.htm","`Christopher Baum`","C"
"cme","stata program to estimate generalized linear models with covariate measurement error","https://econpapers.repec.org/software/bocbocode/s434701.htm","`Sophia Rabe`-`Hesketh`","C"
"cmitest","stata module to implement testing and inference methods for conditional moment inequalities/equalities models","https://econpapers.repec.org/software/bocbocode/s458138.htm","`Donald Andrews`,` Wooyoung Kim`,` Xioaxia Shi`","C"
"cmogram","stata module to plot histogram-style conditional mean or median graphs","https://econpapers.repec.org/software/bocbocode/s457162.htm","`Christopher Robert`","C"
"cmp","stata module to implement conditional (recursive) mixed process estimator","https://econpapers.repec.org/software/bocbocode/s456882.htm","`David Roodman`","C"
"cnar","stata module to retrieve chinese listed firms' financial data","https://econpapers.repec.org/software/bocbocode/s457696.htm","`Xuan Zhang`,` Chuntao Li`,` Cheng Pan`","C"
"cnborder","stata module to analyze locations in china vs geography","https://econpapers.repec.org/software/bocbocode/s459134.htm","`Chuntao Li`,` Guangzhong Liu`,` Muhammad Usman`","C"
"cnbreg","stata module to estimate negative binomial regression - canonical parameterization","https://econpapers.repec.org/software/bocbocode/s456424.htm","`Joseph Hilbe`","C"
"cndnmb3","stata module to calculate condition number of regressor matrix","https://econpapers.repec.org/software/bocbocode/s350601.htm","`Michael Blasnik`","C"
"cnevent","stata module to carry out an event study with chinese publicly listed firms","https://econpapers.repec.org/software/bocbocode/s459041.htm","`Chuntao Li`,` Yizhuo Fang`","C"
"cngcode","stata module to geocode chinese addresses","https://econpapers.repec.org/software/bocbocode/s458719.htm","`Chuntao Li`,` Yuan Xue`","C"
"cngdf","stata module to calculate any base period gdp deflator for china","https://econpapers.repec.org/software/bocbocode/s458911.htm","`Song Bolin`","C"
"cnindex","stata module to download historical stock quotations from chinese market","https://econpapers.repec.org/software/bocbocode/s458072.htm","`Zhiyong Li`","C"
"cnintraday","stata module to download intraday stock quotations for a list of stock codes in a given date from sinafinance","https://econpapers.repec.org/software/bocbocode/s458260.htm","`Chuntao Li`,` Yuan Xue`","C"
"cnkchart","stata module to draw candlestick chart with chinese stock prices","https://econpapers.repec.org/software/bocbocode/s459163.htm","`Chuntao Li`,` Yizhuo Fang`","C"
"cnmapsearch","stata module to extract the specified information by keyword in a certain geographic range","https://econpapers.repec.org/software/bocbocode/s458601.htm","`Chuntao Li`,` Yuan Xue`,` Xueren Zhang`","C"
"cnormp","stata module to evaluate censored normal distribution","https://econpapers.repec.org/software/bocbocode/s457087.htm","`Austin Nichols`","C"
"cnpoi","stata module to extract the specified information by keywords or types in a chinese city","https://econpapers.repec.org/software/bocbocode/s459185.htm","`Chuntao Li`,` Zeyuan Guo`,` Kong Meng`","C"
"cns","stata module to compute consensus measure for ordinal scales","https://econpapers.repec.org/software/bocbocode/s457130.htm","`Matthew Openshaw`","C"
"cnsrsig","stata module to evaluate validity of restrictions on a regression","https://econpapers.repec.org/software/bocbocode/s388202.htm","`Christopher Baum`,` Vince Wiggins`","C"
"cnssc","stata module to mirror ssc archive in china","https://econpapers.repec.org/software/bocbocode/s458956.htm","`Yujun Lian`","C"
"cnstock","stata module to download stock names and codes for chinese listed companies","https://econpapers.repec.org/software/bocbocode/s458271.htm","`Chuntao Li`,` Zijian Li`,` Yuan Xue`","C"
"cnstroke","stata module to return the stroke count of chinese characters","https://econpapers.repec.org/software/bocbocode/s459117.htm","`Yuyan Li`,` Muhammad Usman`,` Haitao Si`","C"
"cntop10","stata module to download information of top 10 shareholders for a list of stock codes from hexun","https://econpapers.repec.org/software/bocbocode/s458602.htm","`Chuntao Li`,` Xueli Sun`,` Yuan Xue`","C"
"cntrade","stata module to retrieve chinese stock market quotations from netease","https://econpapers.repec.org/software/bocbocode/s457580.htm","`Chuntao Li`,` Xuan Zhang`","C"
"cntraveltime","stata module to extract the time needed for traveling between two locations from baidu map","https://econpapers.repec.org/software/bocbocode/s458603.htm","`Chuntao Li`,` Yuan Xue`,` Xueren Zhang`","C"
"cnuse","stata module to download datasets from the quantitative economics wechat public account, the econometric service center wechat public account, and other network data sources","https://econpapers.repec.org/software/bocbocode/s459393.htm","`Wang Qiang`","C"
"cochran","stata module to test for equality of proportions in matched samples (cochran's q)","https://econpapers.repec.org/software/bocbocode/s444105.htm","`Ben Jann`","C"
"codci","stata module to calculate bonett-seier's confidence interval for the cod","https://econpapers.repec.org/software/bocbocode/s456766.htm","`Mamoun Benmamoun`","C"
"codebook2","stata module to produce a codebook describing a data file","https://econpapers.repec.org/software/bocbocode/s432901.htm","`Paul Bern`","C"
"codebook_ripper","stata module to convert metadata managed in a spreadsheet into do files with renaming, notes as well as variable and value labelling","https://econpapers.repec.org/software/bocbocode/s458393.htm","`Niels Henrik Bruun`","C"
"codebookout","stata module to save codebook in ms excel format","https://econpapers.repec.org/software/bocbocode/s457811.htm","`Kishor K`.` Das`","C"
"coefout","stata module to keep the beta-coefficients for specified variables and labelnames from a regression","https://econpapers.repec.org/software/bocbocode/s459359.htm","`Niranjan Kumar`","C"
"coefplot","stata module to plot regression coefficients and other results","https://econpapers.repec.org/software/bocbocode/s457686.htm","`Ben Jann`","C"
"cohend","stata module to compute cohen's d","https://econpapers.repec.org/software/bocbocode/s457235.htm","`David Tannenbaum`","C"
"coldiag2","stata module to evaluate collinearity in linear regression","https://econpapers.repec.org/software/bocbocode/s445202.htm","`John Hendrickx`","C"
"coldiag","stata module to perform bwk regression collinearity diagnostics","https://econpapers.repec.org/software/bocbocode/s405001.htm","`Joseph Harkness`","C"
"colelms","stata module to calculate cole's lms values for growth data","https://econpapers.repec.org/software/bocbocode/s360702.htm","`Zhiqiang Wang`,` Mark S Pearce`","C"
"collapse2","stata module to extend the collapse command","https://econpapers.repec.org/software/bocbocode/s444801.htm","`David Roodman`","C"
"collapseunique","stata module to reduce data to unique observations based on specified key variables","https://econpapers.repec.org/software/bocbocode/s433301.htm","`David Kantor`","C"
"color_style","stata module to change the colors in the current scheme","https://econpapers.repec.org/software/bocbocode/s459062.htm","`Fernando Rios`-`Avila`","C"
"colorscatter","stata module to draw scatter plots with marker colors varying by a third variable","https://econpapers.repec.org/software/bocbocode/s458316.htm","`Simon He`ß","C"
"colrspace","stata module providing a class-based color management system in mata","https://econpapers.repec.org/software/bocbocode/s458597.htm","`Ben Jann`","C"
"combinatorics","stata module to evaluate the performance of all possible 2^n models generated with a given set of n possible explanatory variables","https://econpapers.repec.org/software/bocbocode/s458191.htm","`Claire Vandendriessche`","C"
"combine","stata module to combine n, mean, and sd from two groups according to the cochrane-recommended formula for meta-analyses","https://econpapers.repec.org/software/bocbocode/s457265.htm","`Philip M Jones`","C"
"combineplot","stata module to combine similar univariate or bivariate plots for different variables","https://econpapers.repec.org/software/bocbocode/s457823.htm","`Nicholas Cox`","C"
"combival","stata module to combine levels of a categorical variable over observation groups","https://econpapers.repec.org/software/bocbocode/s458023.htm","`Klaudia Erhardt`,` Ralf Kuenster`","C"
"combomarginsplot","stata module to combine the saved results from multiple calls to margins into one marginsplot","https://econpapers.repec.org/software/bocbocode/s457804.htm","`Nicholas Winter`","C"
"commonbreaks","matlab functions to estimate common breaks for panel data","https://econpapers.repec.org/software/bocbocode/m430012.htm","`Jushan Bai`","C"
"complexity","stata module to compute complexity indexes from comparative advantage tables","https://econpapers.repec.org/software/bocbocode/s458689.htm","`Charlie Joyez`","C"
"complexroots","rats procedure for calculating roots of a polynomial","https://econpapers.repec.org/software/bocbocode/r210403.htm","`Tom Doan`","C"
"complogit","stata module to compare logit coefficients across groups","https://econpapers.repec.org/software/bocbocode/s456828.htm","`Glenn Hoetker`","C"
"compreg","stata module to estimate a compositional regression with isometric log-ratio (ilr) transformation of the components","https://econpapers.repec.org/software/bocbocode/s459291.htm","`Giacomo Zanello`","C"
"comtrade","stata module to download trade data from un comtrade using jsonio and parse the output in a user friendly format","https://econpapers.repec.org/software/bocbocode/s458588.htm","`Jan Ditzen`","C"
"concindc","stata module to calculate concentration index with both individual and grouped data","https://econpapers.repec.org/software/bocbocode/s456802.htm","`Zhuo Chen`","C"
"concindex","stata module to calculate measures of the concentration index","https://econpapers.repec.org/software/bocbocode/s456733.htm","`Amadou Diallo`","C"
"concord","stata module for concordance correlation","https://econpapers.repec.org/software/bocbocode/s404501.htm","`Nicholas Cox`,` Thomas Steichen`","C"
"concordance","stata module to harmonize classification codes","https://econpapers.repec.org/software/bocbocode/s458655.htm","`Nicole Bellert`,` Dario Fauceglia`","C"
"conddens","stata module to estimate a conditional density to correct for measurement error and missing values","https://econpapers.repec.org/software/bocbocode/s457658.htm","`Nikolas Mittag`","C"
"condisc","stata module to perform convergent and discriminant validity assessment in cfa","https://econpapers.repec.org/software/bocbocode/s458003.htm","`Mehmet Mehmetoglu`","C"
"condition","rats procedure to implement conditional forecasting","https://econpapers.repec.org/software/bocbocode/rts00038.htm","`Tom Doan`","C"
"confa","stata module to perform confirmatory factor analysis modeling","https://econpapers.repec.org/software/bocbocode/s457117.htm","`Stanislav Kolenikov`","C"
"confall","stata module to plot and display estimates to assess confounding","https://econpapers.repec.org/software/bocbocode/s456768.htm","`Zhiqiang Wang`","C"
"confirmdir","stata module to confirm if a directory exists","https://econpapers.repec.org/software/bocbocode/s435507.htm","`Dan Blanchette`","C"
"confnd","stata module to plot and display estimates to assess confounding","https://econpapers.repec.org/software/bocbocode/s456767.htm","`Zhiqiang Wang`","C"
"confsvy","stata module to assess confounding effects in survey studies","https://econpapers.repec.org/software/bocbocode/s361101.htm","`Zhiqiang Wang`","C"
"conindex","stata module to perform estimation of concentration indices","https://econpapers.repec.org/software/bocbocode/s458111.htm","`Owen O`'`Donnell`,` Stephen O`'`Neill`,` Tom Van Ourti`,` Brendan Walsh`","C"
"conjoint","stata module to analyse and visualise conjoint (factorial) experiments","https://econpapers.repec.org/software/bocbocode/s458950.htm","`Michael Frith`","C"
"contagt","gauss module to implement a pairwise bootstrap test for contagion","https://econpapers.repec.org/software/bocbocode/g00007.htm","`R Scott Hacker`,` Abdulnasser Hatemi`-`J`","C"
"contour","stata module to draw contour plots","https://econpapers.repec.org/software/bocbocode/s456717.htm","`Adrian Mander`","C"
"contrast","stata module to calculate contrasts between factor levels","https://econpapers.repec.org/software/bocbocode/s337701.htm","`Patrick Royston`","C"
"contrast","stata program to compute contrasts in anova","https://econpapers.repec.org/software/bocbocode/uclacontrast.htm","`Philip B`.` Ender`","C"
"convert_top_lines","stata module to handle leading lines of text file","https://econpapers.repec.org/software/bocbocode/s450701.htm","`David Kantor`","C"
"cooksd2","stata module to compute cook's distance after regress or xtreg","https://econpapers.repec.org/software/bocbocode/s459149.htm","`David Vincent`","C"
"cooksd","sas routine to calculate the cook's d statistic","https://econpapers.repec.org/software/bocbocode/z741504.htm","`Roger Goodwin`","C"
"copycode","stata module to produce modular self-written ado files","https://econpapers.repec.org/software/bocbocode/s457503.htm","`Daniel C`.` Schneider`","C"
"copydesc","stata module to copy description of variable","https://econpapers.repec.org/software/bocbocode/s411301.htm","`Nicholas Cox`","C"
"coranal","stata module to perform simple correspondence analysis","https://econpapers.repec.org/software/bocbocode/s335502.htm","`Philippe Van Kerm`","C"
"corescore","stata module to produce comorbid operative risk evaluation (core) score macro","https://econpapers.repec.org/software/bocbocode/s459336.htm","`Nikhil Chervu`,` Jeffrey Balian`,` Peyman Benharash`","C"
"corr2docx","stata module to report pearson & spearman correlation coefficients to formatted table in docx file","https://econpapers.repec.org/software/bocbocode/s458383.htm","`Chuntao Li`,` Zijian Li`,` Yuan Xue`","C"
"corr_svy","stata module to compute correlation tables for survey data","https://econpapers.repec.org/software/bocbocode/s422701.htm","`Nicholas Winter`","C"
"corrado","rats procedure to perform corrado non-parametric event test","https://econpapers.repec.org/software/bocbocode/rts00039.htm","`Tom Doan`","C"
"correlationchords","stata module to produce a circular chord diagram of correlations","https://econpapers.repec.org/software/bocbocode/s459381.htm","`Emilio Dom`í`nguez`-`Dur`á`n`","C"
"corrintegral","rats procedure to compute a correlation integral for a series","https://econpapers.repec.org/software/bocbocode/rts00040.htm","`Tom Doan`","C"
"corrtab","stata module to display correlation coefficients in a formatted tabular output","https://econpapers.repec.org/software/bocbocode/s434201.htm","`Fred Wolfe`","C"
"corrtable","stata module to show correlation matrix as graphical table","https://econpapers.repec.org/software/bocbocode/s456893.htm","`Nicholas Cox`","C"
"corrtex","stata module to generate correlation tables formatted in latex","https://econpapers.repec.org/software/bocbocode/s456758.htm","`Nicolas Couderc`","C"
"corsp","stata module to display combined pearson and spearman correlation matrix","https://econpapers.repec.org/software/bocbocode/s457773.htm","`Daniel Klein`","C"
"cortesti","stata module to test equality of two correlation coefficients","https://econpapers.repec.org/software/bocbocode/s407302.htm","`Herve M`.` Caci`","C"
"cospectdens","stata module to compute cross spectra","https://econpapers.repec.org/software/bocbocode/s458168.htm","`Huseyin Tastan`","C"
"couliari","stata module to implement corbae-ouliaris frequency domain filter to time series data","https://econpapers.repec.org/software/bocbocode/s457218.htm","`Jorge P`é`rez P`é`rez`","C"
"countmatch","stata module to count matching values for one variable in another","https://econpapers.repec.org/software/bocbocode/s456784.htm","`Nicholas Cox`","C"
"countvalues","stata module to list counts of integer values across variables","https://econpapers.repec.org/software/bocbocode/s458921.htm","`Nicholas Cox`","C"
"countyfips","stata module for merging u.s. county identifiers","https://econpapers.repec.org/software/bocbocode/s459137.htm","`Christopher Goodman`","C"
"covbal","stata module for producing covariate balance statistics","https://econpapers.repec.org/software/bocbocode/s458188.htm","`Ariel Linden`","C"
"cpcorr","stata module for correlations for each row vs each column variable","https://econpapers.repec.org/software/bocbocode/s416701.htm","`Nicholas Cox`","C"
"cpigen","stata module to add us cpi series to current dataset","https://econpapers.repec.org/software/bocbocode/s456909.htm","`Austin Nichols`","C"
"cpiget","stata module to construct an annual cpi series based on a user-specified fiscal-year time span","https://econpapers.repec.org/software/bocbocode/s458682.htm","`Christopher Candelaria`,` Kenneth Shores`","C"
"cpoisson","stata module to estimate censored poisson regression","https://econpapers.repec.org/software/bocbocode/s456411.htm","`Joseph Hilbe`","C"
"cpoissone","stata module to estimate censored poisson regression (econometric parameterization)","https://econpapers.repec.org/software/bocbocode/s457079.htm","`Joseph Hilbe`","C"
"cpr","stata module producing results for all possible combinations of arguments","https://econpapers.repec.org/software/bocbocode/s414401.htm","`Nicholas Cox`","C"
"cprdcribs","stata module providing template do-files for inputting cprd datasets into stata","https://econpapers.repec.org/software/bocbocode/s458392.htm","`Roger Newson`","C"
"cprdenttype","stata module to convert cprd entity string data of any enttype to numeric","https://econpapers.repec.org/software/bocbocode/s458419.htm","`Roger Newson`","C"
"cprdentutil","stata module to convert cprd entity data variables to numeric variables","https://econpapers.repec.org/software/bocbocode/s458270.htm","`Roger Newson`","C"
"cprdhesaeutil","stata module to input cprd hes a&e linkage datasets into stata","https://econpapers.repec.org/software/bocbocode/s458596.htm","`Roger Newson`","C"
"cprdhesoputil","stata module to input cprd hes/op linkage datasets into stata","https://econpapers.repec.org/software/bocbocode/s458595.htm","`Roger Newson`","C"
"cprdhesutil","stata module for inputting hes-linkage datasets into stata","https://econpapers.repec.org/software/bocbocode/s458194.htm","`Roger Newson`","C"
"cprdlinkutil","stata module for inputting cprd linkage-source datasets into stata","https://econpapers.repec.org/software/bocbocode/s458193.htm","`Roger Newson`","C"
"cprdlsoautil","stata module to input cprd lsoa-linkage datasets into stata","https://econpapers.repec.org/software/bocbocode/s458585.htm","`Roger Newson`","C"
"cprdonsutil","stata module to input cprd ons-linkage datasets into stata","https://econpapers.repec.org/software/bocbocode/s458586.htm","`Roger Newson`","C"
"cprdutil","stata module for inputting cprd datasets into stata","https://econpapers.repec.org/software/bocbocode/s458108.htm","`Roger Newson`","C"
"cpredict","stata module to produce conditional predictions","https://econpapers.repec.org/software/bocbocode/s458047.htm","`Florian Wendelspiess Ch`á`vez Ju`á`rez`","C"
"cprplot2","stata module to graph component-plus-residual plots for transformed regressors","https://econpapers.repec.org/software/bocbocode/s450602.htm","`Ben Jann`","C"
"cprplots","stata module to graph (augmented) component-plus-residual plots in a single image","https://econpapers.repec.org/software/bocbocode/s450601.htm","`Ben Jann`","C"
"cpt","stata module to compute optimal cut-points for empirical roc curves and other roc/auc calculations","https://econpapers.repec.org/software/bocbocode/s459278.htm","`Niels Henrik Bruun`","C"
"cpyxplot","stata module to produce scatter plots for each y vs each x variable","https://econpapers.repec.org/software/bocbocode/s366201.htm","`Nicholas Cox`","C"
"cqiv","stata module to perform censored quantile instrumental variables regression","https://econpapers.repec.org/software/bocbocode/s457478.htm","`Victor Chernozhukov`,` Ivan Fernandez`-`Val`,` Sukjin Han`,` Amanda Kowalski`","C"
"cquad","stata module to perform conditional maximum likelihood estimation of quadratic exponential models","https://econpapers.repec.org/software/bocbocode/s457891.htm","`Francesco Bartolucci`","C"
"cquadr","stata module to estimate quadratic exponential models running the cquad r package","https://econpapers.repec.org/software/bocbocode/s458852.htm","`Francesco Bartolucci`,` Claudia Pigini`,` Francesco Valentini`","C"
"cquantile","stata module to generate corresponding quantiles","https://econpapers.repec.org/software/bocbocode/s456503.htm","`Nicholas Cox`","C"
"crater","stata module to calculate computer scorer vs. human rater agreement statistics","https://econpapers.repec.org/software/bocbocode/s457624.htm","`Leah W`.` McGuire`","C"
"creplace","stata module to exchange values cyclically between variables","https://econpapers.repec.org/software/bocbocode/s457073.htm","`Roger Newson`","C"
